filename,subject,session,task,echo,datatype,extension,size_MB
sub-21_ses-04_task-hand_echo-3_bold.json,sub-21,ses-04,hand,3,bold.json,.json,0.0
sub-17_ses-04_task-hand_echo-3_bold.nii.gz,sub-17,ses-04,hand,3,bold.nii.gz,.nii.gz,138.12
sub-23_ses-01_task-hand_echo-5_phasediff.nii.gz,sub-23,ses-01,hand,5,phasediff.nii.gz,.nii.gz,0.54
sub-23_ses-02_task-hand_echo-5_bold.nii.gz,sub-23,ses-02,hand,5,bold.nii.gz,.nii.gz,126.18
sub-10_ses-03_task-hand_echo-5_bold.nii.gz,sub-10,ses-03,hand,5,bold.nii.gz,.nii.gz,131.93
sub-10_ses-02_task-hand_echo-3_sbref.json,sub-10,ses-02,hand,3,sbref.json,.json,0.0
sub-23_ses-04_task-hand_echo-3_sbref.json,sub-23,ses-04,hand,3,sbref.json,.json,0.0
sub-12_ses-04_task-hand_echo-3_phasediff.nii.gz,sub-12,ses-04,hand,3,phasediff.nii.gz,.nii.gz,0.59
sub-25_ses-02_task-hand_echo-5_sbref.json,sub-25,ses-02,hand,5,sbref.json,.json,0.0
sub-15_ses-01_task-hand_echo-5_sbref.nii,sub-15,ses-01,hand,5,sbref.nii,.nii,0.58
sub-24_ses-02_task-hand_echo-5_phasediff.nii.gz,sub-24,ses-02,hand,5,phasediff.nii.gz,.nii.gz,0.58
sub-07_ses-01_task-hand_echo-3_sbref.json,sub-07,ses-01,hand,3,sbref.json,.json,0.0
sub-22_ses-02_task-hand_echo-1_bold.nii.gz,sub-22,ses-02,hand,1,bold.nii.gz,.nii.gz,152.45
sub-13_ses-03_task-hand_echo-3_phasediff.nii.gz,sub-13,ses-03,hand,3,phasediff.nii.gz,.nii.gz,0.6
sub-25_ses-04_task-hand_echo-2_phasediff.json,sub-25,ses-04,hand,2,phasediff.json,.json,0.0
sub-24_ses-04_task-hand_echo-4_sbref.json,sub-24,ses-04,hand,4,sbref.json,.json,0.0
sub-05_ses-01_task-hand_echo-4_phasediff.json,sub-05,ses-01,hand,4,phasediff.json,.json,0.0
sub-19_ses-03_task-hand_echo-4_bold.json,sub-19,ses-03,hand,4,bold.json,.json,0.0
sub-01_ses-02_task-hand_echo-3_bold.nii.gz,sub-01,ses-02,hand,3,bold.nii.gz,.nii.gz,145.11
sub-22_ses-02_task-hand_echo-2_sbref.json,sub-22,ses-02,hand,2,sbref.json,.json,0.0
